,maxAge,symbol,insidersPercentHeld,institutionsPercentHeld,institutionsFloatPercentHeld,institutionsCount,storeDate
0,1,TM,0.0,0.00751,0.00751,378.0,1550822400.0
0,1,TME,0.0,0.25991,0.25991,200.0,1550822400.0
0,1,TMO,0.0016500001,0.90277,0.90427,1846.0,1550822400.0
0,1,TREE,0.40605,0.87522006,1.47355,288.0,1550822400.0
0,1,TRIP,0.15135999,1.01134,1.19172,641.0,1550822400.0
0,1,TRMB,0.00396,0.98622,0.99014,577.0,1550822400.0
0,1,TSEM,0.0,0.58657,0.58657,191.0,1550822400.0
0,1,TSLA,0.25004,0.62654,0.83544,1052.0,1550822400.0
0,1,TSM,0.00037999998,0.19962,0.1997,1030.0,1550822400.0
0,1,TSS,0.0164,0.80498004,0.81839997,827.0,1550822400.0
0,1,TTD,0.10236,0.0,0.0,0.0,1550822400.0
0,1,TTWO,0.011519999,0.99578005,1.00738,773.0,1550822400.0
0,1,TWOU,0.01885,1.1450701,1.16707,281.0,1550822400.0
0,1,TWTR,0.06178,0.70322996,0.74954003,953.0,1550822400.0
0,1,TXN,0.0023100001,0.87765,0.87968004,1841.0,1550822400.0
0,1,TYL,0.0175,0.90993,0.92614,467.0,1550822400.0
0,1,UBNT,0.80771005,0.22774,1.18436,285.0,1550822400.0
0,1,UHS,0.0256,0.99574995,1.0219101,676.0,1550822400.0
0,1,ULTA,0.05228,0.94592005,0.99811,918.0,1550822400.0
0,1,ULTI,0.030940002,0.99087995,1.02252,480.0,1550822400.0
0,1,UNH,0.00579,0.88706,0.89223,2468.0,1550822400.0
0,1,URBN,0.36354,0.80033,1.25747,436.0,1550822400.0
0,1,URGN,0.022720002,0.62398,0.63848996,82.0,1550822400.0
0,1,UTHR,0.01727,1.02921,1.04729,574.0,1550822400.0
0,1,V,0.00093999994,0.95154,0.95244,2950.0,1550822400.0
0,1,VAR,0.0027700001,0.95343,0.95608,839.0,1550822400.0
0,1,VC,0.0036000002,1.17766,1.18192,332.0,1550822400.0
0,1,VCYT,0.0117999995,0.96995,0.98153,166.0,1550822400.0
0,1,VEEV,0.00798,0.92013,0.92753,664.0,1550822400.0
0,1,VIPS,0.052800003,0.56448,0.59595,371.0,1550822400.0
0,1,VRSK,0.05809,0.94457,1.00283,834.0,1550822400.0
0,1,VRSN,0.010620001,0.97402,0.98447996,748.0,1550822400.0
0,1,VRTX,0.0038,0.98234004,0.98608,996.0,1550822400.0
0,1,VSH,0.00704,1.01903,1.02625,376.0,1550822400.0
0,1,WAT,0.04521,0.92385,0.96759003,808.0,1550822400.0
0,1,WB,0.074149996,0.39898998,0.43095002,482.0,1550822400.0
0,1,WCG,0.00749,1.0382199,1.0460501,658.0,1550822400.0
0,1,WDAY,0.00796,1.0299801,1.03825,708.0,1550822400.0
0,1,WDC,0.00356,0.87397003,0.8771,953.0,1550822400.0
0,1,WIX,0.02937,0.98690003,1.01676,330.0,1550822400.0
0,1,WST,0.00928,0.94675004,0.95561,462.0,1550822400.0
0,1,WUBA,0.04777,0.73807,0.77509004,394.0,1550822400.0
0,1,WWE,0.01881,1.17885,1.20146,349.0,1550822400.0
0,1,XLNX,0.00176,0.89809,0.89967,1036.0,1550822400.0
0,1,XRAY,0.00696,1.0174,1.0245401,697.0,1550822400.0
0,1,YELP,0.043270003,0.9969,1.0419899,322.0,1550822400.0
0,1,YY,0.020480001,0.85007006,0.86784,437.0,1550822400.0
0,1,ZBH,0.00213,0.92130995,0.92328,1142.0,1550822400.0
0,1,ZEN,0.01429,0.0,0.0,0.0,1550822400.0
0,1,ZTS,0.00298,0.95942,0.96229,1340.0,1550822400.0
0,1,ZUO,0.08225001,0.45821998,0.49928,148.0,1550822400.0
