symbol,industry,sector,averageDailyVolume10Day,averageDailyVolume3Month,fiftyDayAverageChangePercent,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,longName,regularMarketChangePercent,regularMarketDayHigh,regularMarketDayLow,regularMarketOpen,regularMarketPreviousClose,regularMarketPrice,regularMarketTime,regularMarketVolume,twoHundredDayAverageChangePercent,ytdReturn,expireDate,expireIsoDate,openInterest,marketCap,quoteType,beta,enterpriseValue,pegRatio,enterpriseToEbitda,52WeekChange,SandP52WeekChange,shortPercentOfFloat,netIncomeToCommon,52wkAbsRange
ANET,Computer Systems,Technology,771.5,773.6,0.032783862000000004,-0.29699042,0.1775711,187.08 - 313.367,"Arista Networks, Inc.",-1.9450728,223.965,218.4,222.84,224.67,220.3,1549573199.0,371025.0,-0.09405515,,,,,16.6,EQUITY,1.7891240000000002,15272218624.0,1.24,23.575,-0.1506502,0.058353424,0.034,261463008.0,0.47456151999999996
ANSS,Software - Application,Technology,349.3,599.3,0.10391734,-0.109740056,0.23940058,136.8 - 190.45,"ANSYS, Inc.",-0.72022235,170.72,168.81,169.17,170.78,169.55,1549573201.0,342515.0,0.03244688,,,,,14.2,EQUITY,1.501354,13494195200.0,1.89,29.69,0.14740658,0.058353424,0.0255,318796992.0,0.349140636
ANTM,Health Care Plans,Healthcare,2178.4,1674.6,0.15412122,-0.01139287,0.42933363,215.52 - 311.6,"Anthem, Inc.",-1.0630773,310.4499,305.68,310.0,311.36,308.05,1549573197.0,959619.0,0.14027283,,,,,79.7,EQUITY,1.150512,77872906240.0,0.97,11.19,0.35039234,0.058353424,0.0113,3750000128.0,0.4407265
APH,Electronic Components,Technology,1257.2,1586.9,0.09314306,-0.07892576,0.19893268,74.95 - 97.56,Amphenol Corporation,0.05567649,90.24,89.24,89.24,89.81,89.86,1549573197.0,793990.0,0.016255684,,,,,27.1,EQUITY,0.9089709999999999,29254236160.0,2.51,14.663,0.063595414,0.058353424,0.0162,1204999936.0,0.27785844
APTV,Auto Parts,Consumer Cyclical,2552.2,2189.0,0.10827242599999999,-0.26155186,0.29642865,58.8 - 103.23,Aptiv PLC,-2.6187985,77.57,75.66,77.25,78.28,76.23,1549573199.0,2140537.0,-0.03157541,,,,,20.1,EQUITY,1.790282,24442318848.0,1.15,10.912,-0.12310964,0.058353424,,1067000000.0,0.55798051
ATHN,Health Information Services,Technology,463.8,1064.5,0.015920883,-0.17683302,0.15569068,116.77 - 163.94,"athenahealth, Inc.",0.037066754,134.96,134.8,134.8,134.9,134.95,1549573199.0,216512.0,-0.007208559,,,,,5.6,EQUITY,0.39203699999999997,5431143936.0,1.1,20.51,0.059951305,0.058353424,0.0889,125500000.0,0.3325237
ATVI,Electronic Gaming & Multimedia,Technology,13230.8,11648.3,-0.06521727,-0.48086917,0.033623334,42.53 - 84.68,"Activision Blizzard, Inc.",2.232556,44.33,43.05,43.21,43.0,43.96,1549573201.0,16497109.0,-0.30076729999999996,,,,,33.5,EQUITY,1.1514010000000001,35750346752.0,1.99,16.644000000000002,-0.3468024,0.058353424,0.0257,577000000.0,0.514492504
AVGO,Semiconductors,Technology,2528.7,3761.3,0.05838285,-0.038964298,0.36275694,197.46 - 280.0,Broadcom Inc.,-2.577747,274.55,266.33,272.86,276.21,269.09,1549573201.0,2434051.0,0.14308254,,,,,109.6,EQUITY,0.58417,123164139520.0,0.75,12.873,0.20316231,0.058353424,0.0252,12277999616.0,0.40172123800000004
AVX,Electronic Components,Technology,290.8,301.3,0.08370910599999999,-0.17621042,0.24524980000000002,14.21 - 21.48,AVX Corporation,-2.72128,18.02,17.69,17.97,18.19,17.695,1549573196.0,224437.0,0.009694058,,,,,3.0,EQUITY,1.13703,2216635136.0,1.3,6.131,0.07633138,0.058353424,0.0275,234148992.0,0.42146022000000005
AYX,Software - Application,Technology,980.1,1043.7,0.037440054,-0.087823234,1.7686019,24.46 - 74.24,"Alteryx, Inc.",-0.7620115,67.9889,65.35,67.28,68.24,67.72,1549573198.0,902995.0,0.1958049,,,,,4.2,EQUITY,,4143991040.0,-79.52,-335.356,1.5976398,0.058353424,0.24129999,-12264000.0,1.856425134
BABA,Specialty Retail,Consumer Cyclical,16115.4,17380.9,0.111765616,-0.21114784,0.28689215,129.77 - 211.7,Alibaba Group Holding Limited,-2.6352637000000003,169.61,164.34,169.16,171.52,167.0,1549573199.0,11546410.0,0.055075365999999994,,,,,432.9,EQUITY,1.743352,442634076160.0,58.45,,-0.012550354,0.058353424,,,0.49803999
BAX,Medical Instruments & Supplies,Healthcare,3203.2,4105.1,0.049680743,-0.0926256,0.16494682,61.05 - 78.38,Baxter International Inc.,-0.9056624,71.66,70.67,71.42,71.77,71.12,1549573199.0,1978859.0,0.016161073,,,,,37.8,EQUITY,1.052151,38802759680.0,1.82,15.015,0.14721859,0.058353424,0.0112,1630000000.0,0.25757242
BBY,Specialty Retail,Consumer Cyclical,2706.1,4302.0,0.055313293,-0.30200312,0.23407371,47.72 - 84.37,"Best Buy Co., Inc.",-0.95862716,59.36,58.075,59.17,59.46,58.89,1549573196.0,1648566.0,-0.13937157,,,,,15.8,EQUITY,1.230007,15888925696.0,0.7,5.865,-0.13563019,0.058353424,0.079,1092999936.0,0.5360768300000001
BC,Leisure,Consumer Cyclical,1514.9,971.0,0.02917608,-0.29368377,0.17640746,41.92 - 69.82,Brunswick Corporation,0.09132975,49.69,48.84,48.99,49.27,49.315,1549573198.0,828920.0,-0.13602172,,,,,4.3,EQUITY,2.073243,5231797760.0,0.71,8.144,-0.131347,0.058353424,0.033099998,263100000.0,0.47009122999999997
BDX,Medical Instruments & Supplies,Healthcare,1188.4,1197.6,0.046518378,-0.09173656,0.15751126,208.62 - 265.87,"Becton, Dickinson and Company",-0.6541373,243.22,239.95,241.25,243.07,241.48,1549573198.0,816678.0,-0.0077946293000000005,,,,,65.1,EQUITY,1.317531,85368406016.0,1.58,17.953,0.14959323,0.058353424,0.0175,159000000.0,0.24924781999999998
BGNE,Biotechnology,Healthcare,174.5,603.4,-0.05667249,-0.42726037,0.19840284,105.19 - 220.1,"BeiGene, Ltd.",-3.5058187999999997,131.65,126.06,130.31,130.64,126.06,1549573200.0,140489.0,-0.13724035,,,,,7.5,EQUITY,1.2329999999999999,5639097856.0,-0.52,-11.203,0.0626322,0.058353424,,-507766016.0,0.62566321
BIDU,Internet Content & Information,Technology,1956.4,2804.0,0.038650393,-0.3963127,0.11574979,153.78 - 284.22,"Baidu, Inc.",-1.3057257,173.96,170.06,173.52,173.85,171.58,1549573200.0,1858683.0,-0.13179925,,,,,59.8,EQUITY,1.316059,61426827264.0,45.74,,-0.18022352,0.058353424,,,0.51206249
BIIB,Biotechnology,Healthcare,1383.5,1272.2,-0.036946025,-0.20567577,0.23903364,249.17 - 388.67,Biogen Inc.,-7.355053999999999,325.205,307.0,323.9,333.24,308.73,1549573201.0,2603360.0,-0.06591963,,,,,62.2,EQUITY,1.809029,68979851264.0,1.73,9.8,0.06879628,0.058353424,0.017,4430700032.0,0.44470940999999997
BKNG,Leisure,Consumer Cyclical,318.0,425.1,0.07850926,-0.15788762,0.16858314,1606.27 - 2228.99,Booking Holdings Inc.,-1.5663918,1900.65,1862.01,1892.1,1906.93,1877.06,1549573201.0,332540.0,0.009166114,,,,,87.0,EQUITY,0.771992,89709043712.0,1.3,15.940999999999999,0.055850863,0.058353424,0.0254,2796701952.0,0.32647075999999997
BL,Software - Infrastructure,Technology,403.4,443.0,0.09836763,-0.18172434,0.48232436,32.078 - 58.11,"BlackLine, Inc.",-1.4711958,48.27,46.61,47.67,48.26,47.55,1549573201.0,286081.0,0.036707677,,,,,2.6,EQUITY,1.024,2512048640.0,5.01,-241.52,0.47268832,0.058353424,0.1074,-29248000.0,0.6640487
BLUE,Biotechnology,Healthcare,436.3,699.7,0.14195739999999998,-0.44095355,0.5090868,87.49 - 236.17,"bluebird bio, Inc.",-2.8976998,136.355,129.35,134.99,135.97,132.03,1549573198.0,293473.0,-0.0008932557,,,,,7.2,EQUITY,2.8686599999999998,5841297920.0,0.06,-11.332,-0.28736895,0.058353424,0.1592,-523830016.0,0.95004035
BMY,Drug Manufacturers - Major,Healthcare,14612.7,13616.1,0.015234872,-0.2853676,0.13002263,44.3 - 70.05,Bristol-Myers Squibb Company,-2.111846,50.75,49.78,50.75,51.14,50.06,1549573198.0,9586281.0,-0.092575125,,,,,81.7,EQUITY,1.1224100000000001,82441764864.0,1.29,11.588,-0.18423992,0.058353424,0.0296,4952000000.0,0.41539022999999997
BND,,,2988.6,2984.2,0.0058708480000000006,-0.0036208427000000002,0.030209191,77.46 - 80.09,Vanguard Total Bond Market ETF,0.07525105,79.84,79.75,79.79,79.74,79.8,1549573201.0,1543982.0,0.013999717,1.01,,,,,ETF,,,,,,,,,0.0338300337
BNDX,,,5799.2,2104.0,0.0064580333,-0.0092157265,0.018198762,53.85 - 55.34,Vanguard Total International Bond ETF,0.09127976,54.84,54.8023,54.83,54.78,54.83,1549573201.0,4596797.0,0.0044918326000000005,1.11,,,,,ETF,,,,,,,,,0.0274144885
BOX,Software - Infrastructure,Technology,2373.6,2226.5,0.19093192,-0.23531386,0.45652175,15.64 - 29.79,"Box, Inc.",-2.1057146,23.03,22.32,23.0,23.27,22.78,1549573194.0,1955402.0,0.08671941,,,,,3.3,EQUITY,1.748849,3260995584.0,-6.31,-32.777,0.17170191,0.058353424,0.0479,-147583008.0,0.69183561
BRKR,Diagnostics & Research,Healthcare,393.6,760.0,0.098508336,-0.01696331,0.35440606,26.1 - 35.96,Bruker Corporation,-0.7858619000000001,35.5,34.82,35.45,35.63,35.35,1549573201.0,375255.0,0.07850713,,,,,5.5,EQUITY,1.52712,5554451968.0,2.25,16.929000000000002,0.12681842,0.058353424,0.066,98200000.0,0.37136937000000003
BRKS,Semiconductor Equipment & Materials,Technology,552.2,704.0,0.08898375,-0.24150944,0.31832087,22.87 - 39.75,"Brooks Automation, Inc.",-4.9195824,31.6176,29.85,30.79,31.71,30.15,1549573201.0,1072595.0,-0.0074348436,,,,,2.1,EQUITY,2.080062,2102540288.0,2.44,28.798000000000002,0.36094415,0.058353424,0.0715,67828000.0,0.5598303099999999
BSX,Medical Devices,Healthcare,9065.0,7478.4,0.08360455,-0.015212943999999999,0.55111814,25.04 - 39.44,Boston Scientific Corporation,0.18055119,39.09,38.18,38.39,38.77,38.84,1549573199.0,8039447.0,0.078865,,,,,53.7,EQUITY,0.934085,58696478720.0,2.16,22.576,0.5384921,0.058353424,0.0098,670000000.0,0.566331084
BWA,Auto Parts,Consumer Cyclical,1398.1,1760.4,0.03127468,-0.28006244,0.20810232,32.46 - 54.47,BorgWarner Inc.,-4.7948494,40.76,38.87,40.45,41.19,39.215,1549573198.0,1662105.0,-0.03450733,,,,,8.2,EQUITY,1.9279810000000002,10404984832.0,1.39,5.989,-0.20696956,0.058353424,0.023,554499968.0,0.48816476000000003
CAH,Medical Distribution,Healthcare,3444.2,3566.5,0.14831953,-0.25931996,0.28622252,42.17 - 73.23,"Cardinal Health, Inc.",6.7926774000000005,54.695,52.75,53.5,50.79,54.24,1549573198.0,7657173.0,0.059051268,,,,,16.2,EQUITY,1.4181139999999999,21912653824.0,1.9,7.436,-0.23773068,0.058353424,0.0374,734000000.0,0.5455424799999999
CBM,Biotechnology,Healthcare,252.6,403.2,-0.0458607,-0.42402416,0.111450866,35.98 - 69.43,Cambrex Corporation,-3.2889888,41.3,39.59,41.01,41.35,39.99,1549573196.0,252956.0,-0.2595745,,,,,1.3,EQUITY,2.579894,1615573504.0,0.96,9.147,-0.19080234,0.058353424,0.16229999,132165000.0,0.535475026
CCL,Leisure,Consumer Cyclical,3587.1,4241.1,0.0768084,-0.1930272,0.24758983,45.64 - 70.56,Carnival Corporation,-2.349516,58.01,56.43,57.54,58.31,56.94,1549573199.0,3290398.0,-0.021606876,,,,,39.4,EQUITY,1.6093629999999999,49943760896.0,0.98,9.249,-0.12657279,0.058353424,0.041300002,3152000000.0,0.44061703
CCMP,Semiconductors,Technology,160.8,229.8,0.05878587,-0.18608595,0.22482984,82.24 - 123.76,Cabot Microelectronics Corporation,-2.4973326,104.0,99.08,104.0,103.31,100.73,1549573201.0,449277.0,-0.022500169,,,,,2.9,EQUITY,1.319533,2283033600.0,1.13,11.765,0.104093194,0.058353424,0.031400002999999996,109920000.0,0.41091579
CDNS,Software - Application,Technology,1524.0,1598.1,0.12508349,-0.008429651,0.42519018,35.49 - 51.01,"Cadence Design Systems, Inc.",0.19810279,50.62,49.97,50.12,50.48,50.58,1549573201.0,1325631.0,0.13193081,,,,,14.3,EQUITY,1.056284,13924753408.0,2.13,28.343000000000004,0.37099397,0.058353424,0.018000000000000002,232910000.0,0.43361983099999996
CELG,Biotechnology,Healthcare,9653.2,10179.4,0.08604832,-0.10222723,0.4929169,58.59 - 97.43,Celgene Corporation,-0.7488892,88.11,86.9,87.54,88.13,87.47,1549573201.0,6479680.0,0.07050843,,,,,61.2,EQUITY,1.442928,77535059968.0,0.54,13.224,-0.031751275,0.058353424,0.0223,4046000128.0,0.59514413
CERN,Health Information Services,Technology,2958.8,2194.8,0.04422052,-0.17714964,0.1398114,48.78 - 67.57,Cerner Corporation,-1.1906912,56.12,54.965,55.87,56.27,55.6,1549573201.0,2249507.0,-0.06512614,,,,,18.3,EQUITY,0.9721280000000001,17884497920.0,2.69,14.234000000000002,-0.080855966,0.058353424,0.0347,835396992.0,0.31696104
CERS,Biotechnology,Healthcare,536.9,812.8,0.07147564,-0.26583853,0.56763923,3.77 - 8.05,Cerus Corporation,-1.0050242,5.975,5.77,5.95,5.97,5.91,1549573201.0,625718.0,-0.062357735,,,,,0.8,EQUITY,1.7429430000000001,730416512.0,,-14.960999999999999,0.51139235,0.058353424,0.0292,-52845000.0,0.8334777600000001
CGNX,Scientific & Technical Instruments,Technology,1004.6,1314.2,0.1527279,-0.21680173,0.35779813,34.88 - 60.47,Cognex Corporation,-1.4360013,47.87,46.74,47.45,48.05,47.36,1549573201.0,1227853.0,0.016656186,,,,,8.2,EQUITY,1.9233650000000002,7563876864.0,1.27,30.555,-0.10438031,0.058353424,0.0673,146568000.0,0.57459986
CHKP,Software - Application,Technology,1205.9,988.5,0.08501342,-0.041552822999999996,0.23496158,93.76 - 120.81,Check Point Software Technologies Ltd.,-0.09490993,116.28,114.74,115.25,115.9,115.79,1549573201.0,973285.0,0.037664287000000005,,,,,18.1,EQUITY,0.581663,16264296448.0,2.68,17.456,0.18024445,0.058353424,,821305024.0,0.276514403
CI,Health Care Plans,Healthcare,2992.3,2903.1,-0.028268235,-0.17938305,0.14071894,163.02 - 226.61,Cigna Corporation,-0.8107473000000001,186.72,183.6,185.88,187.48,185.96,1549573197.0,1917756.0,-0.06496988,,,,,70.8,EQUITY,1.096984,46603804672.0,0.75,9.048,-0.009457409,0.058353424,0.0217,2759000064.0,0.32010198999999995
CLLS,Biotechnology,Healthcare,112.7,145.8,0.013670048,-0.5575289000000001,0.12059976,15.34 - 38.85,Cellectis S.A.,-2.8264556,17.57,16.97,17.57,17.69,17.19,1549573185.0,92853.0,-0.28457677,,,,,0.7,EQUITY,2.093069,305015200.0,,-3.062,-0.39230502,0.058353424,,-82527000.0,0.67812866
CLVS,Biotechnology,Healthcare,1795.1,2515.8,0.1522714,-0.6109749,1.2069565,11.5 - 65.24,"Clovis Oncology, Inc.",-2.870264,26.4199,25.34,26.07,26.13,25.38,1549573201.0,1231631.0,-0.04449291,,,,,1.3,EQUITY,2.127669,1347810048.0,-0.12,-4.539,-0.47865123,0.058353424,0.244,-320632992.0,1.8179314
CNC,Health Care Plans,Healthcare,2064.6,1805.0,-0.4730218,-0.5710162,0.013639978,63.05 - 148.98,Centene Corporation,1.3157864,64.89,63.05,64.35,63.08,63.91,1549573199.0,2619689.0,-0.52504426,,,,,13.2,EQUITY,1.467692,25373648896.0,0.85,10.693,-0.3714627,0.058353424,0.0136,889000000.0,0.584656178
COO,Medical Instruments & Supplies,Healthcare,292.2,406.4,0.045834288,-0.054417565,0.260267,216.47 - 288.51,"The Cooper Companies, Inc.",-1.3202611000000002,275.64,270.54,274.44,276.46,272.81,1549573198.0,282599.0,0.04581997,,,,,13.5,EQUITY,1.0198559999999999,15624428544.0,2.36,20.541999999999998,0.23878658,0.058353424,0.0394,139900000.0,0.314684565
COUP,Software - Infrastructure,Technology,1694.0,1328.0,0.2961598,-0.02649638,1.4710611,37.32 - 94.73,Coupa Software Incorporated,-0.4426169,92.87,89.16,90.94,92.63,92.22,1549573201.0,729330.0,0.35547736,,,,,5.5,EQUITY,1.876,5228296192.0,-6674.33,-151.404,1.3654239,0.058353424,0.1118,-47676000.0,1.49755748
CREE,Semiconductors,Technology,1783.7,1352.1,0.10388322,-0.040940106000000004,0.6094147,31.44 - 52.76,"Cree, Inc.",-3.0651386,52.1,50.14,51.66,52.2,50.6,1549573201.0,1133410.0,0.16255212,,,,,5.1,EQUITY,0.395856,4990743552.0,0.94,40.346,0.6046727,0.058353424,0.1402,-287348992.0,0.650354806
CRM,Software - Application,Technology,5155.2,6828.1,0.07787464599999999,-0.03970475,0.5120640000000001,102.37 - 161.19,"salesforce.com, inc.",-2.1121933,157.05,153.36,155.96,158.13,154.79,1549573201.0,3982831.0,0.07685962,,,,,118.4,EQUITY,1.179319,122568351744.0,1.78,104.25399999999999,0.5200424,0.058353424,0.0223,721478016.0,0.55176875
CRSP,Biotechnology,Healthcare,563.6,856.8,-0.05379302,-0.597023,0.3402341,22.22 - 73.9,CRISPR Therapeutics AG,-8.734295,32.4683,29.35,32.38,32.63,29.78,1549573201.0,912622.0,-0.2518109,,,,,1.5,EQUITY,3.1189999999999998,1196243456.0,,-10.937999999999999,-0.15553826,0.058353424,0.1425,-117250000.0,0.9372571
CRUS,Semiconductors,Technology,1133.5,972.9,0.08550391,-0.17085317,0.22528003,31.25 - 46.18,"Cirrus Logic, Inc.",-2.5947607,38.98,37.65,38.74,39.31,38.29,1549573201.0,589975.0,-0.0077162404,,,,,2.3,EQUITY,0.548456,2012656512.0,0.98,10.322000000000001,-0.023839056,0.058353424,0.1144,95838000.0,0.39613319999999996
CSCO,Communication Equipment,Technology,17680.1,25157.9,0.055150487000000005,-0.05599354,0.22155379,38.23 - 49.47,"Cisco Systems, Inc.",-1.6427943999999999,47.3199,46.49,47.19,47.48,46.7,1549573201.0,19570927.0,0.02445658,,,,,210.0,EQUITY,1.121169,195531145216.0,1.68,12.958,0.22465825,0.058353424,0.0104,1264999936.0,0.27754733
CSOD,Software - Application,Technology,404.0,451.1,0.09827735,-0.021015467000000003,0.6059019,36.26 - 59.48,"Cornerstone OnDemand, Inc.",-0.03433555,58.35,56.785,57.71,58.25,58.23,1549573201.0,342771.0,0.10328929,,,,,3.4,EQUITY,1.7162009999999999,3328704512.0,1.21,5360.233,0.55582273,0.058353424,0.0223,-39674000.0,0.626917367
CTRP,Leisure,Consumer Cyclical,3267.2,5078.7,0.06551188,-0.38162208,0.28399995,25.0 - 51.91,"Ctrip.com International, Ltd.",-5.3097434,33.62,31.91,33.62,33.9,32.1,1549573201.0,3664999.0,-0.048578475,,,,,17.5,EQUITY,0.8540700000000001,18582216704.0,88.12,,-0.24042124,0.058353424,,,0.66562203
CTXS,Software - Infrastructure,Technology,1873.5,1874.5,0.010816343999999999,-0.10015406,0.25591406,83.7 - 116.82,"Citrix Systems, Inc.",-0.45454144,105.57,104.26,104.9,105.6,105.12,1549573201.0,1818637.0,-0.022140202999999997,,,,,14.2,EQUITY,1.097739,14832933888.0,1.87,16.232,0.24926066,0.058353424,0.1246,575667008.0,0.35606812
