,,,"EQY_FUND_CRNCY=USD,SCALING_FORMAT=BLN",,"SCALING_FORMAT=BLN,EQY_FUND_CRNCY=USD","SCALING_FORMAT=BLN,EQY_FUND_CRNCY=USD",,,,,,,BEST_FPERIOD_OVERRIDE=1GY,,,
RIG US Equity,USD,TRANSOCEAN LTD,0.3,#N/A N/A,  4 ,  4 ,56.0,#VALUE!,#VALUE!,Energy,Energy Equipment & Services,Energy,29.0,13%,  (15),"  1,090 "
THS US Equity,USD,TREEHOUSE FOODS INC,0.3,#N/A N/A,  3 ,  2 ,35.5,  1.04 ,  0.94 ,Consumer Staples,Food Products,"Food, Beverage & Tobacco",15.0,98%,  (15),  236 
NWS US Equity,USD,NEWS CORP - CLASS B,0.4,0.0,  8 ,  (0),28.7,  1.59 ,  1.55 ,Communication Services,Media,Media & Entertainment,2.0,61%,  (15),  7 
NWSA US Equity,USD,NEWS CORP - CLASS A,0.4,0.0,  8 ,  (0),31.9,  1.56 ,  1.52 ,Communication Services,Media,Media & Entertainment,9.0,61%,  (15),  26 
CVLT US Equity,USD,COMMVAULT SYSTEMS INC,0.1,-33.3,  3 ,  (0),41.2,  0.72 ,  0.59 ,Information Technology,Software,Software & Services,12.0,84%,  (15),  527 
GFI US Equity,USD,GOLD FIELDS LTD-SPONS ADR,0.0,1.0,  2 ,  1 ,49.5,  0.06 ,  0.22 ,Materials,Metals & Mining,Materials,4.0,44%,  (15),  401 
HIG US Equity,USD,HARTFORD FINANCIAL SVCS GRP,2.3,#N/A N/A,  16 ,  5 ,25.5,  1.62 ,  1.04 ,Financials,Insurance,Insurance,19.0,13%,  (14),"  1,010 "
DISCK US Equity,USD,DISCOVERY INC-C,2.0,11.5,  21 ,  8 ,41.4,  0.18 ,  0.65 ,Communication Services,Media,Media & Entertainment,3.0,34%,  (13),  11 
DISCA US Equity,USD,DISCOVERY INC - A,2.0,11.5,  21 ,  8 ,42.8,  0.20 ,  0.72 ,Communication Services,Media,Media & Entertainment,29.0,34%,  (13),  61 
CREE US Equity,USD,CREE INC,0.0,#N/A N/A,  5 ,  (0),62.1,  0.50 ,  0.56 ,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,13.0,55%,  (12),  534 
SIG US Equity,USD,SIGNET JEWELERS LTD,1.8,#N/A N/A,  3 ,  1 ,46.6,  24.33 ,  25.45 ,Consumer Discretionary,Specialty Retail,Retailing,12.0,115%,  (12),  117 
VOD US Equity,EUR,VODAFONE GROUP PLC-SP ADR,8.8,2.8,  53 ,  33 ,38.8,  0.91 ,  0.74 ,Communication Services,Wireless Telecommunication Ser,Telecommunication Services,5.0,32%,  (10),  16 
CNO US Equity,USD,CNO FINANCIAL GROUP INC,0.3,#N/A N/A,  3 ,  3 ,31.5,  0.97 ,  0.70 ,Financials,Insurance,Insurance,7.0,14%,  (10),  925 
GDS US Equity,CNY,GDS HOLDINGS LTD - ADR,-0.4,11.6,  4 ,  1 ,92.3,#VALUE!,  (0.49),Information Technology,IT Services,Software & Services,11.0,14%,  (9),  518 
TDC US Equity,USD,TERADATA CORP,0.2,-1.3,  4 ,  (0),33.1,  0.89 ,  0.98 ,Information Technology,IT Services,Software & Services,20.0,99%,  (9),  553 
AIG US Equity,USD,AMERICAN INTERNATIONAL GROUP,-0.4,#N/A N/A,  38 ,  29 ,36.1,  0.09 ,  0.62 ,Financials,Insurance,Insurance,19.0,9%,  (9),"  1,013 "
EBAY US Equity,USD,EBAY INC,1.7,1.5,  27 ,  (1),43.8,  0.95 ,  0.65 ,Consumer Discretionary,Internet & Direct Marketing Re,Retailing,38.0,42%,  (9),  206 
AHL US Equity,USD,ASPEN INSURANCE HOLDINGS LTD,#N/A N/A,#N/A N/A,  2 ,  (0),5.5,  1.15 ,  2.22 ,Financials,Insurance,Insurance,4.0,18%,  (9),  892 
CBT US Equity,USD,CABOT CORP,0.1,2.8,  3 ,  1 ,47.9,  0.75 ,  1.41 ,Materials,Chemicals,Materials,9.0,99%,  (9),  413 
AES US Equity,USD,AES CORP,0.3,5.2,  10 ,  18 ,30.6,  1.42 ,  1.35 ,Utilities,Independent Power and Renewabl,Utilities,11.0,30%,  (8),  297 
ESV US Equity,USD,ENSCO PLC-CL A,-0.5,45.2,  3 ,  4 ,66.4,#VALUE!,#VALUE!,Energy,Energy Equipment & Services,Energy,25.0,13%,  (8),"  1,078 "
VIAV US Equity,USD,VIAVI SOLUTIONS INC,0.0,0.6,  2 ,  0 ,51.0,  1.00 ,  2.31 ,Information Technology,Communications Equipment,Technology Hardware & Equipmen,11.0,50%,  (8),  511 
UFS US Equity,USD,DOMTAR CORP,0.3,15.1,  3 ,  1 ,34.6,  0.80 ,  (1.70),Materials,Paper & Forest Products,Materials,14.0,99%,  (7),  433 
UA US Equity,USD,UNDER ARMOUR INC-CLASS C,0.2,4.9,  10 ,  1 ,77.2,  1.73 ,  3.66 ,Consumer Discretionary,"Textiles, Apparel & Luxury Goo",Consumer Durables & Apparel,3.0,124%,  (7),  78 
UAA US Equity,USD,UNDER ARMOUR INC-CLASS A,0.2,4.9,  10 ,  1 ,84.1,  1.27 ,  1.00 ,Consumer Discretionary,"Textiles, Apparel & Luxury Goo",Consumer Durables & Apparel,35.0,124%,  (7),  202 
WPX US Equity,USD,WPX ENERGY INC,-0.4,3.3,  6 ,  2 ,47.0,  0.04 ,  0.14 ,Energy,"Oil, Gas & Consumable Fuels",Energy,30.0,21%,  (6),"  1,094 "
FSLR US Equity,USD,FIRST SOLAR INC,-0.5,-23.8,  5 ,  (3),56.3,  0.13 ,  1.65 ,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,18.0,27%,  (6),  552 
INCY US Equity,USD,INCYTE CORP,0.1,#N/A N/A,  14 ,  (1),49.2,  0.42 ,  0.34 ,Health Care,Biotechnology,"Pharmaceuticals, Biotechnology",22.0,73%,  (6),  863 
NOK US Equity,EUR,NOKIA CORP-SPON ADR,0.4,-1.7,  32 ,  (6),31.1,  0.42 ,  0.51 ,Information Technology,Communications Equipment,Technology Hardware & Equipmen,13.0,56%,  (6),  529 
RGLD US Equity,USD,ROYAL GOLD INC,0.3,3.1,  5 ,  0 ,30.0,  1.03 ,  5.53 ,Materials,Metals & Mining,Materials,14.0,16%,  (6),  432 
ARNC US Equity,USD,ARCONIC INC,-0.3,4.4,  10 ,  5 ,44.1,  0.63 ,  0.53 ,Industrials,Aerospace & Defense,Capital Goods,12.0,74%,  (6),  665 
LYV US Equity,USD,LIVE NATION ENTERTAINMENT IN,0.2,1.6,  11 ,  0 ,37.7,  0.18 ,  2.45 ,Communication Services,Entertainment,Media & Entertainment,13.0,132%,  (6),  35 
VSAT US Equity,USD,VIASAT INC,-0.4,7.5,  4 ,  1 ,41.8,  (0.32),  0.61 ,Information Technology,Communications Equipment,Technology Hardware & Equipmen,10.0,51%,  (6),  502 
GLW US Equity,USD,CORNING INC,0.7,1.2,  26 ,  1 ,40.5,  0.87 ,  1.70 ,Information Technology,"Electronic Equipment, Instrume",Technology Hardware & Equipmen,15.0,40%,  (6),  541 
STRA US Equity,USD,STRATEGIC EDUCATION INC,0.0,-75.0,  3 ,  (0),52.9,  0.69 ,  1.06 ,Consumer Discretionary,Diversified Consumer Services,Consumer Services,4.0,52%,  (5),  81 
FNSR US Equity,USD,FINISAR CORPORATION,-0.1,-6.0,  3 ,  (0),64.9,  0.21 ,  1.20 ,Information Technology,Communications Equipment,Technology Hardware & Equipmen,14.0,50%,  (5),  537 
TRVG US Equity,EUR,TRIVAGO NV - ADR,-0.1,#N/A N/A,  2 ,  (0),77.1,  (1.11),  0.44 ,Communication Services,Interactive Media & Services,Media & Entertainment,14.0,86%,  (5),  39 
LIVN US Equity,USD,LIVANOVA PLC,0.1,0.6,  6 ,  0 ,39.1,  4.37 ,  2.56 ,Health Care,Health Care Equipment & Suppli,Health Care Equipment & Servic,8.0,42%,  (5),  785 
HOLX US Equity,USD,HOLOGIC INC,-0.2,10.9,  11 ,  3 ,30.4,  1.88 ,  1.70 ,Health Care,Health Care Equipment & Suppli,Health Care Equipment & Servic,21.0,42%,  (4),  857 
PDCE US Equity,USD,PDC ENERGY INC,-0.3,3.9,  3 ,  1 ,62.0,  0.04 ,  0.11 ,Energy,"Oil, Gas & Consumable Fuels",Energy,22.0,27%,  (4),"  1,073 "
OAS US Equity,USD,OASIS PETROLEUM INC,-0.1,4.5,  3 ,  2 ,59.1,  0.07 ,  0.27 ,Energy,"Oil, Gas & Consumable Fuels",Energy,28.0,25%,  (4),"  1,089 "
EQT US Equity,USD,EQT CORP,-0.8,22.1,  4 ,  7 ,71.7,  (0.81),  (0.43),Energy,"Oil, Gas & Consumable Fuels",Energy,19.0,20%,  (4),"  1,065 "
SCG US Equity,USD,SCANA CORP,0.2,18.8,  6 ,  7 ,50.8,  (1.93),  0.87 ,Utilities,Multi-Utilities,Utilities,10.0,21%,  (4),  292 
ERJ US Equity,BRL,EMBRAER SA-SPON ADR,1.3,2.5,  4 ,  0 ,42.3,  0.06 ,  0.49 ,Industrials,Aerospace & Defense,Capital Goods,14.0,42%,  (3),  688 
C US Equity,USD,CITIGROUP INC,19.6,2.8,  158 ,  146 ,27.4,  0.58 ,  0.50 ,Financials,Banks,Banks,30.0,5%,  (3),"  1,040 "
SRE US Equity,USD,SEMPRA ENERGY,-0.3,10.0,  30 ,  19 ,22.1,  1.63 ,  0.80 ,Utilities,Multi-Utilities,Utilities,14.0,21%,  (3),  301 
FLS US Equity,USD,FLOWSERVE CORP,0.2,2.8,  6 ,  1 ,46.5,  0.90 ,  1.24 ,Industrials,Machinery,Capital Goods,18.0,82%,  (3),  718 
HAIN US Equity,USD,HAIN CELESTIAL GROUP INC,0.0,5.8,  2 ,  1 ,52.1,  1.22 ,  0.78 ,Consumer Staples,Food Products,"Food, Beverage & Tobacco",21.0,87%,  (3),  250 
AVT US Equity,USD,AVNET INC,0.1,2.3,  5 ,  1 ,37.6,  1.14 ,  1.03 ,Information Technology,"Electronic Equipment, Instrume",Technology Hardware & Equipmen,10.0,202%,  (3),  504 
LHO US Equity,USD,LASALLE HOTEL PROPERTIES,0.1,2.7,  4 ,  1 ,16.6,  (0.01),#VALUE!,Real Estate,Equity Real Estate Investment,Real Estate,13.0,29%,  (3),  351 
BHF US Equity,USD,BRIGHTHOUSE FINANCIAL INC,3.4,#N/A N/A,  5 ,  6 ,37.8,  0.37 ,  0.45 ,Financials,Insurance,Insurance,16.0,3%,  (3),  997 
VG US Equity,USD,VONAGE HOLDINGS CORP,0.1,1.3,  3 ,  0 ,54.3,  (1.81),  2.30 ,Communication Services,Diversified Telecommunication,Telecommunication Services,10.0,112%,  (2),  29 
NI US Equity,USD,NISOURCE INC,-0.6,8.3,  9 ,  9 ,20.5,  3.48 ,  2.70 ,Utilities,Multi-Utilities,Utilities,16.0,25%,  (2),  306 
SJI US Equity,USD,SOUTH JERSEY INDUSTRIES,-0.1,24.5,  3 ,  1 ,40.4,  7.57 ,  1.52 ,Utilities,Gas Utilities,Utilities,7.0,29%,  (2),  285 
COTY US Equity,USD,COTY INC-CL A,-0.1,8.7,  7 ,  7 ,88.2,  0.58 ,  1.92 ,Consumer Staples,Personal Products,Household & Personal Products,17.0,40%,  (2),  238 
NEM US Equity,USD,NEWMONT MINING CORP,0.8,0.5,  18 ,  1 ,37.9,  1.98 ,  1.38 ,Materials,Metals & Mining,Materials,21.0,34%,  (2),  453 
SLB US Equity,USD,SCHLUMBERGER LTD,3.5,3.9,  67 ,  13 ,27.4,  0.70 ,  0.30 ,Energy,Energy Equipment & Services,Energy,35.0,46%,  (2),"  1,102 "
SYNH US Equity,USD,SYNEOS HEALTH INC,0.2,7.2,  5 ,  3 ,39.0,  1.00 ,  1.14 ,Health Care,Life Sciences Tools & Services,"Pharmaceuticals, Biotechnology",15.0,60%,  (1),  824 
JD US Equity,CNY,JD.COM INC-ADR,-0.2,-12.2,  35 ,  (2),59.7,  0.46 ,  0.31 ,Consumer Discretionary,Internet & Direct Marketing Re,Retailing,38.0,209%,  (1),  205 
QRVO US Equity,USD,QORVO INC,0.6,0.2,  8 ,  0 ,55.1,  0.69 ,  1.75 ,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,26.0,50%,  (1),  571 
MOS US Equity,USD,MOSAIC CO/THE,0.8,2.2,  14 ,  3 ,44.7,  0.53 ,  1.26 ,Materials,Chemicals,Materials,19.0,48%,  (1),  448 
NOV US Equity,USD,NATIONAL OILWELL VARCO INC,0.2,2.0,  13 ,  1 ,38.5,  (0.01),  0.18 ,Energy,Energy Equipment & Services,Energy,31.0,39%,  (0),"  1,096 "
KMI US Equity,USD,KINDER MORGAN INC,1.5,5.8,  38 ,  37 ,26.8,  0.66 ,  1.87 ,Energy,"Oil, Gas & Consumable Fuels",Energy,23.0,18%,  (0),"  1,075 "
BHGE US Equity,USD,BAKER HUGHES A GE CO,-0.4,1.4,  26 ,  1 ,39.6,  0.15 ,  0.20 ,Energy,Energy Equipment & Services,Energy,28.0,41%,  0 ,"  1,086 "
DSW US Equity,USD,DSW INC-CLASS A,0.2,-1.6,  2 ,  (0),57.3,  1.75 ,  6.38 ,Consumer Discretionary,Specialty Retail,Retailing,11.0,203%,  0 ,  114 
HBI US Equity,USD,HANESBRANDS INC,0.4,4.6,  6 ,  4 ,38.5,  1.62 ,  8.62 ,Consumer Discretionary,"Textiles, Apparel & Luxury Goo",Consumer Durables & Apparel,17.0,91%,  0 ,  138 
TTM US Equity,INR,TATA MOTORS LTD-SPON ADR,#N/A N/A,1.9,  8 ,  6 ,54.5,  0.06 ,  0.17 ,Consumer Discretionary,Automobiles,Automobiles & Components,3.0,97%,  0 ,  76 
MUR US Equity,USD,MURPHY OIL CORP,0.1,1.3,  6 ,  2 ,51.4,  0.05 ,  (0.46),Energy,"Oil, Gas & Consumable Fuels",Energy,15.0,24%,  0 ,"  1,056 "
XRX US Equity,USD,XEROX CORP,0.6,2.9,  6 ,  4 ,29.3,  1.45 ,  (2.85),Information Technology,"Technology Hardware, Storage &",Technology Hardware & Equipmen,6.0,62%,  0 ,  483 
MCHP US Equity,USD,MICROCHIP TECHNOLOGY INC,1.2,7.3,  18 ,  1 ,48.5,  1.06 ,  0.67 ,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,21.0,35%,  1 ,  558 
AU US Equity,USD,ANGLOGOLD ASHANTI-SPON ADR,0.3,1.8,  4 ,  2 ,48.2,  0.16 ,  0.44 ,Materials,Metals & Mining,Materials,5.0,63%,  1 ,  405 
PCG US Equity,USD,P G & E CORP,-0.9,5.8,  9 ,  19 ,147.5,  0.78 ,  0.78 ,Utilities,Electric Utilities,Utilities,18.0,23%,  1 ,  313 
ATGE US Equity,USD,ADTALEM GLOBAL EDUCATION INC,0.2,-0.6,  3 ,  (0),35.4,  1.23 ,  0.94 ,Consumer Discretionary,Diversified Consumer Services,Consumer Services,6.0,54%,  1 ,  84 
NTCT US Equity,USD,NETSCOUT SYSTEMS INC,0.2,1.8,  2 ,  0 ,52.8,  0.60 ,  0.63 ,Information Technology,Communications Equipment,Technology Hardware & Equipmen,5.0,28%,  1 ,  474 
HR US Equity,USD,HEALTHCARE REALTY TRUST INC,-0.1,5.5,  4 ,  1 ,27.9,  (2.65),  13.31 ,Real Estate,Equity Real Estate Investment,Real Estate,14.0,14%,  1 ,  357 
MCK US Equity,USD,MCKESSON CORP,2.8,4.3,  25 ,  5 ,35.0,  1.87 ,  0.90 ,Health Care,Health Care Providers & Servic,Health Care Equipment & Servic,19.0,337%,  1 ,  848 
FTI US Equity,USD,TECHNIPFMC PLC,-0.8,-0.9,  11 ,  (3),27.8,  1.53 ,  0.51 ,Energy,Energy Equipment & Services,Energy,36.0,46%,  1 ,"  1,103 "
NSA US Equity,USD,NATIONAL STORAGE AFFILIATES,-0.5,6.7,  2 ,  1 ,24.9,  0.74 ,  8.84 ,Real Estate,Equity Real Estate Investment,Real Estate,9.0,13%,  1 ,  336 
NYT US Equity,USD,NEW YORK TIMES CO-A,0.0,-2.8,  4 ,  (0),44.1,  1.06 ,  0.71 ,Communication Services,Media,Media & Entertainment,6.0,79%,  1 ,  20 
TRIP US Equity,USD,TRIPADVISOR INC,0.3,-2.3,  9 ,  (0),66.5,  3.49 ,  1.66 ,Communication Services,Interactive Media & Services,Media & Entertainment,27.0,70%,  2 ,  57 
ACIW US Equity,USD,ACI WORLDWIDE INC,0.1,2.8,  3 ,  1 ,47.6,  2.94 ,  1.03 ,Information Technology,Software,Software & Services,4.0,53%,  2 ,  473 
LPNT US Equity,USD,LIFEPOINT HEALTH INC,0.1,4.2,  3 ,  3 ,2.1,  8.53 ,  3.50 ,Health Care,Health Care Providers & Servic,Health Care Equipment & Servic,17.0,98%,  2 ,  835 
ALXN US Equity,USD,ALEXION PHARMACEUTICALS INC,0.3,2.0,  27 ,  2 ,55.4,  0.89 ,  0.69 ,Health Care,Biotechnology,"Pharmaceuticals, Biotechnology",19.0,28%,  2 ,  846 
SNPS US Equity,USD,SYNOPSYS INC,0.4,-0.2,  14 ,  (1),35.8,  2.65 ,  1.68 ,Information Technology,Software,Software & Services,8.0,53%,  2 ,  495 
HAL US Equity,USD,HALLIBURTON CO,1.4,2.2,  28 ,  9 ,32.7,  0.98 ,  0.20 ,Energy,Energy Equipment & Services,Energy,34.0,93%,  2 ,"  1,101 "
GM US Equity,USD,GENERAL MOTORS CO,7.5,-0.2,  50 ,  (6),41.7,  (1.09),  (2.71),Consumer Discretionary,Automobiles,Automobiles & Components,24.0,63%,  2 ,  163 
CHU US Equity,CNY,CHINA UNICOM HONG KONG-ADR,5.4,0.1,  35 ,  5 ,27.8,  1.18 ,  0.12 ,Communication Services,Diversified Telecommunication,Telecommunication Services,4.0,50%,  2 ,  14 
PTEN US Equity,USD,PATTERSON-UTI ENERGY INC,-0.1,1.2,  3 ,  1 ,59.4,#VALUE!,  (0.04),Energy,Energy Equipment & Services,Energy,28.0,59%,  2 ,"  1,087 "
GGB US Equity,BRL,GERDAU SA -SPON ADR,0.4,3.6,  7 ,  4 ,55.2,  0.80 ,  3.40 ,Materials,Metals & Mining,Materials,4.0,83%,  2 ,  399 
PRGO US Equity,USD,PERRIGO CO PLC,0.5,3.9,  9 ,  3 ,62.3,  4.28 ,  2.06 ,Health Care,Pharmaceuticals,"Pharmaceuticals, Biotechnology",15.0,42%,  2 ,  825 
DWDP US Equity,USD,DOWDUPONT INC,#N/A N/A,3.9,  135 ,  20 ,37.3,  0.89 ,  0.67 ,Materials,Chemicals,Materials,29.0,45%,  2 ,  461 
JNJ US Equity,USD,JOHNSON & JOHNSON,18.5,0.7,  388 ,  16 ,16.8,  2.97 ,  2.70 ,Health Care,Pharmaceuticals,"Pharmaceuticals, Biotechnology",22.0,52%,  2 ,  868 
CSCO US Equity,USD,CISCO SYSTEMS INC,13.5,-1.1,  212 ,  (21),38.1,  1.66 ,  2.35 ,Information Technology,Communications Equipment,Technology Hardware & Equipmen,33.0,43%,  2 ,  589 
BVN US Equity,USD,CIA DE MINAS BUENAVENTUR-ADR,0.2,1.4,  4 ,  1 ,30.3,  0.33 ,  0.93 ,Materials,Metals & Mining,Materials,13.0,30%,  2 ,  426 
MAC US Equity,USD,MACERICH CO/THE,0.1,8.8,  7 ,  5 ,29.6,  1.27 ,  4.87 ,Real Estate,Equity Real Estate Investment,Real Estate,19.0,10%,  2 ,  371 
WAT US Equity,USD,WATERS CORP,0.5,-1.1,  15 ,  (1),30.4,  1.56 ,  1.44 ,Health Care,Life Sciences Tools & Services,"Pharmaceuticals, Biotechnology",16.0,52%,  2 ,  830 
IDTI US Equity,USD,INTEGRATED DEVICE TECH INC,0.2,0.5,  6 ,  0 ,7.5,  1.41 ,  0.84 ,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,10.0,66%,  3 ,  507 
ARRS US Equity,USD,ARRIS INTERNATIONAL PLC,0.3,2.7,  5 ,  2 ,54.4,  1.66 ,  1.07 ,Information Technology,Communications Equipment,Technology Hardware & Equipmen,10.0,90%,  3 ,  501 
TFX US Equity,USD,TELEFLEX INC,0.3,3.6,  12 ,  2 ,35.7,  1.79 ,  1.34 ,Health Care,Health Care Equipment & Suppli,Health Care Equipment & Servic,13.0,40%,  3 ,  813 
ABT US Equity,USD,ABBOTT LABORATORIES,4.9,2.4,  124 ,  18 ,26.1,  2.00 ,  1.56 ,Health Care,Health Care Equipment & Suppli,Health Care Equipment & Servic,23.0,42%,  3 ,  870 
HAE US Equity,USD,HAEMONETICS CORP/MASS,0.1,1.0,  6 ,  0 ,38.5,  1.12 ,  1.06 ,Health Care,Health Care Equipment & Suppli,Health Care Equipment & Servic,9.0,74%,  3 ,  791 
MMSI US Equity,USD,MERIT MEDICAL SYSTEMS INC,0.0,3.8,  3 ,  0 ,32.1,  1.72 ,  1.50 ,Health Care,Health Care Equipment & Suppli,Health Care Equipment & Servic,10.0,68%,  3 ,  796 
AKR US Equity,USD,ACADIA REALTY TRUST,#N/A N/A,11.9,  2 ,  1 ,24.9,  2.52 ,#VALUE!,Real Estate,Equity Real Estate Investment,Real Estate,5.0,6%,  3 ,  327 
ESL US Equity,USD,ESTERLINE TECHNOLOGIES CORP,0.1,1.4,  3 ,  0 ,78.6,  1.21 ,  (3.98),Industrials,Aerospace & Defense,Capital Goods,8.0,67%,  3 ,  642 
DLR US Equity,USD,DIGITAL REALTY TRUST INC,-0.6,7.0,  24 ,  9 ,36.2,  8.36 ,  2.88 ,Real Estate,Equity Real Estate Investment,Real Estate,23.0,14%,  3 ,  387 
ACC US Equity,USD,AMERICAN CAMPUS COMMUNITIES,-0.3,6.9,  6 ,  3 ,21.8,  (6.42),  (19.20),Real Estate,Equity Real Estate Investment,Real Estate,11.0,13%,  3 ,  340 
NUVA US Equity,USD,NUVASIVE INC,0.1,2.8,  3 ,  1 ,51.6,  1.60 ,  1.57 ,Health Care,Health Care Equipment & Suppli,Health Care Equipment & Servic,17.0,66%,  3 ,  833 
HCP US Equity,USD,HCP INC,#N/A N/A,7.3,  13 ,  8 ,24.4,  (1.16),  7.22 ,Real Estate,Equity Real Estate Investment,Real Estate,21.0,14%,  3 ,  378 
CUZ US Equity,USD,COUSINS PROPERTIES INC,0.0,3.6,  4 ,  1 ,22.5,  (3.40),  (3.22),Real Estate,Equity Real Estate Investment,Real Estate,6.0,11%,  3 ,  330 
